No,Kelompok,Skor_DS,Skor_FOMO,Skor_DB
1,Umum,26,23,70
2,Umum,34,26,88
3,Umum,37,23,73
4,Umum,32,18,65
5,Umum,45,29,117
6,Umum,39,26,72
7,Umum,27,36,85
8,Umum,24,12,79
9,Umum,27,32,92
10,Umum,21,19,80
11,Umum,33,20,55
12,Umum,43,34,87
13,Umum,20,16,42
14,Umum,19,23,59
15,Umum,29,30,79
16,Umum,33,25,92
17,Umum,34,16,57
18,Umum,35,25,76
19,Umum,34,28,79
20,Umum,44,32,85
21,Umum,28,26,76
22,Umum,33,31,89
23,Umum,33,27,78
24,Umum,26,17,74
25,Umum,18,12,46
26,Umum,41,26,100
27,Umum,29,23,61
28,Umum,24,13,56
29,Umum,37,31,96
30,Gamer,45,32,78
31,Umum,33,15,66
32,Gamer,32,25,88
33,Umum,36,28,111
34,Umum,14,11,54
35,Umum,32,34,87
36,Umum,56,50,120
37,Umum,28,16,73
38,Umum,13,20,61
39,Umum,12,37,99
40,Umum,25,24,81
41,Umum,12,19,36
42,Umum,13,13,68
43,Umum,38,30,83
44,Umum,18,15,35
45,Umum,38,19,68
46,Umum,12,20,31
47,Umum,32,22,67
48,Umum,12,12,30
49,Umum,31,28,75
50,Umum,26,20,49
51,Umum,36,30,72
52,Umum,29,24,84
53,Umum,36,32,79
54,Umum,26,28,75
55,Umum,29,21,58
56,Umum,22,26,71
57,Umum,21,11,55
58,Umum,17,20,67
59,Umum,25,21,101
60,Umum,35,21,83
61,Umum,29,29,73
62,Umum,31,22,67
63,Umum,26,22,47
64,Umum,33,22,64
65,Umum,34,27,83
66,Umum,38,28,90
67,Umum,35,17,76
68,Umum,36,27,70
69,Umum,15,14,41
70,Umum,35,22,79
71,Umum,24,20,85
72,Umum,24,22,64
73,Umum,37,32,82
74,Umum,25,17,102
75,Umum,53,38,115
76,Umum,27,21,73
77,Umum,12,10,26
78,Umum,42,26,80
79,Umum,20,18,103
80,Umum,55,26,83
81,Umum,28,30,73
82,Umum,18,12,59
83,Umum,26,22,84
84,Umum,34,25,84
85,Umum,30,19,86
86,Umum,34,40,95
87,Umum,25,40,68
88,Umum,27,21,70
89,Umum,32,28,80
90,Umum,29,16,70
91,Umum,16,10,44
92,Umum,27,31,85
93,Umum,39,20,87
94,Umum,20,37,87
95,Umum,33,27,74
96,Gamer,27,13,76
97,Gamer,40,24,78
98,Umum,29,24,96
99,Umum,30,26,69
100,Umum,21,15,46
101,Umum,21,24,77
102,Umum,22,10,48
103,Umum,28,20,54
104,Umum,18,18,63
105,Umum,25,20,61
106,Umum,29,23,94
107,Umum,19,20,74
108,Umum,26,21,55
109,Umum,32,26,74
110,Gamer,29,20,89
111,Umum,20,17,66
112,Umum,33,23,67
113,Gamer,26,14,57
114,Gamer,41,18,83
115,Umum,25,27,79
116,Umum,28,22,60
117,Umum,22,21,78
118,Umum,31,31,86
119,Umum,18,10,33
120,Umum,29,26,61
121,Umum,25,24,74
122,Gamer,27,17,66
123,Gamer,40,32,53
124,Gamer,38,29,93
125,Gamer,31,24,58
126,Umum,22,29,62
127,Umum,18,13,34
128,Umum,24,36,98
129,Gamer,25,21,70
130,Umum,23,15,66
131,Gamer,43,14,75
132,Umum,31,19,61
133,Gamer,26,26,60
134,Umum,24,25,76
135,Umum,29,22,80
136,Gamer,12,11,27
137,Umum,32,23,79
138,Umum,30,23,87
139,Gamer,28,26,72
140,Umum,23,22,85
141,Umum,24,20,77
142,Gamer,12,12,70
143,Umum,34,21,73
144,Umum,40,30,78
145,Umum,28,26,69
146,Gamer,37,29,70
147,Umum,38,19,118
148,Gamer,47,34,112
149,Umum,25,13,72
150,Umum,52,14,80
151,Umum,28,21,51
152,Umum,33,24,80
153,Umum,35,29,85
154,Umum,35,30,76
155,Umum,37,41,88
156,Umum,25,20,79
157,Umum,22,32,120
158,Gamer,53,41,97
159,Umum,29,20,73
160,Umum,42,26,79
161,Umum,25,20,49
162,Gamer,43,24,91
163,Umum,14,15,86
164,Umum,30,34,80
165,Gamer,25,15,67
166,Gamer,24,16,70
167,Umum,21,12,58
168,Umum,18,29,80
169,Umum,21,24,56
170,Umum,23,43,67
171,Gamer,25,41,68
172,Umum,47,18,73
173,Umum,27,31,48
174,Gamer,26,22,92
175,Umum,26,12,48
176,Umum,35,25,88
177,Umum,16,16,24
178,Umum,15,11,65
179,Gamer,43,15,115
180,Umum,23,27,76
181,Umum,21,18,73
182,Gamer,29,21,64
183,Umum,41,29,91
184,Umum,28,12,75
185,Gamer,28,25,73
186,Gamer,38,31,78
187,Umum,19,24,73
188,Umum,37,41,65
189,Gamer,42,27,94
190,Gamer,24,14,71
191,Umum,32,26,81
192,Gamer,49,32,107
193,Gamer,26,14,81
194,Gamer,32,28,87
195,Umum,36,24,89
196,Umum,19,30,77
197,Umum,28,21,67
198,Umum,31,27,71
199,Umum,20,10,80
200,Umum,32,27,73
201,Gamer,28,10,36
202,Umum,18,17,55
203,Umum,35,24,89
204,Umum,45,37,89
205,Gamer,40,23,69
206,Umum,31,30,91
207,Gamer,55,49,113
208,Umum,33,15,78
209,Gamer,26,30,80
210,Umum,38,27,80
211,Umum,24,10,83
212,Umum,21,23,85
213,Umum,25,25,63
214,Umum,24,28,82
215,Umum,31,19,66
216,Umum,29,25,74
217,Gamer,18,13,43
218,Umum,25,26,55
219,Gamer,37,30,75
220,Gamer,37,11,110
221,Umum,37,27,69
222,Umum,23,18,56
223,Umum,37,37,109
224,Umum,24,12,63
225,Umum,24,28,71
226,Gamer,22,10,32
227,Gamer,32,22,93
228,Umum,16,12,46
229,Umum,15,24,90
230,Umum,46,15,97
231,Umum,29,23,77
232,Umum,35,24,72
233,Umum,14,10,60
234,Umum,38,33,79
235,Umum,21,17,85
236,Umum,30,49,79
237,Umum,34,38,96
238,Umum,24,17,51
239,Gamer,26,14,55
240,Umum,23,16,71
241,Umum,27,24,58
242,Gamer,13,10,24
243,Umum,24,23,71
244,Umum,32,19,68
245,Umum,27,18,69
246,Umum,27,25,64
247,Umum,48,36,84
248,Gamer,28,30,80
249,Gamer,28,28,60
250,Umum,26,24,82
251,Umum,24,16,49
252,Gamer,40,38,94
253,Umum,16,16,87
254,Gamer,19,19,75
255,Gamer,28,20,84
256,Umum,27,28,74
257,Gamer,44,34,91
258,Gamer,49,40,100
259,Gamer,51,41,98
260,Umum,18,18,70
261,Gamer,27,22,49
262,Gamer,49,41,101
263,Gamer,51,42,100
264,Umum,46,42,99
265,Gamer,26,20,47
266,Gamer,50,41,99
267,Gamer,46,40,95
268,Gamer,27,19,47
269,Gamer,49,40,101
270,Umum,47,43,97
271,Umum,47,38,97
272,Umum,50,41,96
273,Umum,47,43,96
274,Gamer,52,42,105
275,Gamer,54,44,107
276,Gamer,53,43,106
277,Gamer,54,41,104
278,Gamer,51,43,106
279,Gamer,54,43,107
280,Gamer,21,16,38
281,Gamer,21,15,40
282,Gamer,53,44,105
283,Gamer,20,17,39
284,Umum,23,17,42
285,Umum,21,17,44
286,Umum,21,18,41
287,Umum,22,17,41
288,Umum,23,20,40
289,Gamer,52,42,100
290,Gamer,22,18,42
291,Gamer,21,18,39
292,Gamer,50,44,101
293,Gamer,51,42,102
294,Gamer,37,23,84
295,Gamer,32,26,99
296,Gamer,39,31,84
297,Gamer,42,43,92
298,Gamer,39,36,83
299,Gamer,19,15,35
300,Gamer,54,45,103
301,Gamer,55,44,103
302,Gamer,53,46,102
303,Gamer,44,43,105
304,Gamer,53,45,103
305,Gamer,32,19,101
306,Gamer,51,43,103
307,Gamer,52,43,101
308,Gamer,52,44,103
309,Gamer,22,16,42
310,Gamer,54,44,103
311,Gamer,51,44,103
312,Gamer,51,44,105
313,Gamer,49,43,102
314,Gamer,52,44,107
315,Gamer,53,43,105
316,Gamer,53,44,106
317,Gamer,53,44,106
318,Gamer,52,43,106
319,Umum,52,44,105
320,Umum,52,43,108
