NO,Kelompok,Skor_DS,Skor_FOMO,Skor_DB,Norm_DS,Norm_FOMO,Norm_DB,Kategori_Aktual
1,Umum,26,23,70,29.1666666666667,32.5,47.9166666666667,Sedang
2,Umum,34,26,88,45.8333333333333,40,66.6666666666667,Tinggi
3,Umum,37,23,73,52.0833333333333,32.5,51.0416666666667,Sedang
4,Umum,32,18,65,41.6666666666667,20,42.7083333333333,Sedang
5,Umum,45,29,117,68.75,47.5,96.875,Tinggi
6,Umum,39,26,72,56.25,40,50,Sedang
7,Umum,27,36,85,31.25,65,63.5416666666667,Tinggi
8,Umum,24,12,79,25,5,57.2916666666667,Sedang
9,Umum,27,32,92,31.25,55,70.8333333333333,Tinggi
10,Umum,21,19,80,18.75,22.5,58.3333333333333,Sedang
11,Umum,33,20,55,43.75,25,32.2916666666667,Rendah
12,Umum,43,34,87,64.5833333333333,60,65.625,Tinggi
13,Umum,20,16,42,16.6666666666667,15,18.75,Rendah
14,Umum,19,23,59,14.5833333333333,32.5,36.4583333333333,Rendah
15,Umum,29,30,79,35.4166666666667,50,57.2916666666667,Sedang
16,Umum,33,25,92,43.75,37.5,70.8333333333333,Tinggi
17,Umum,34,16,57,45.8333333333333,15,34.375,Rendah
18,Umum,35,25,76,47.9166666666667,37.5,54.1666666666667,Sedang
19,Umum,34,28,79,45.8333333333333,45,57.2916666666667,Sedang
20,Umum,44,32,85,66.6666666666667,55,63.5416666666667,Tinggi
21,Umum,28,26,76,33.3333333333333,40,54.1666666666667,Sedang
22,Umum,33,31,89,43.75,52.5,67.7083333333333,Tinggi
23,Umum,33,27,78,43.75,42.5,56.25,Sedang
24,Umum,26,17,74,29.1666666666667,17.5,52.0833333333333,Sedang
25,Umum,18,12,46,12.5,5,22.9166666666667,Rendah
26,Umum,41,26,100,60.4166666666667,40,79.1666666666667,Tinggi
27,Umum,29,23,61,35.4166666666667,32.5,38.5416666666667,Rendah
28,Umum,24,13,56,25,7.5,33.3333333333333,Rendah
29,Umum,37,31,96,52.0833333333333,52.5,75,Tinggi
30,Gamer,45,32,78,68.75,55,56.25,Sedang
31,Umum,33,15,66,43.75,12.5,43.75,Sedang
32,Gamer,32,25,88,41.6666666666667,37.5,66.6666666666667,Tinggi
33,Umum,36,28,111,50,45,90.625,Tinggi
34,Umum,14,11,54,4.16666666666667,2.5,31.25,Rendah
35,Umum,32,34,87,41.6666666666667,60,65.625,Tinggi
36,Umum,56,50,120,91.6666666666667,100,100,Tinggi
37,Umum,28,16,73,33.3333333333333,15,51.0416666666667,Sedang
38,Umum,13,20,61,2.08333333333333,25,38.5416666666667,Rendah
39,Umum,12,37,99,0,67.5,78.125,Tinggi
40,Umum,25,24,81,27.0833333333333,35,59.375,Sedang
41,Umum,12,19,36,0,22.5,12.5,Rendah
42,Umum,13,13,68,2.08333333333333,7.5,45.8333333333333,Sedang
43,Umum,38,30,83,54.1666666666667,50,61.4583333333333,Tinggi
44,Umum,18,15,35,12.5,12.5,11.4583333333333,Rendah
45,Umum,38,19,68,54.1666666666667,22.5,45.8333333333333,Sedang
46,Umum,12,20,31,0,25,7.29166666666667,Rendah
47,Umum,32,22,67,41.6666666666667,30,44.7916666666667,Sedang
48,Umum,12,12,30,0,5,6.25,Rendah
49,Umum,31,28,75,39.5833333333333,45,53.125,Sedang
50,Umum,26,20,49,29.1666666666667,25,26.0416666666667,Rendah
51,Umum,36,30,72,50,50,50,Sedang
52,Umum,29,24,84,35.4166666666667,35,62.5,Tinggi
53,Umum,36,32,79,50,55,57.2916666666667,Sedang
54,Umum,26,28,75,29.1666666666667,45,53.125,Sedang
55,Umum,29,21,58,35.4166666666667,27.5,35.4166666666667,Rendah
56,Umum,22,26,71,20.8333333333333,40,48.9583333333333,Sedang
57,Umum,21,11,55,18.75,2.5,32.2916666666667,Rendah
58,Umum,17,20,67,10.4166666666667,25,44.7916666666667,Sedang
59,Umum,25,21,101,27.0833333333333,27.5,80.2083333333333,Tinggi
60,Umum,35,21,83,47.9166666666667,27.5,61.4583333333333,Tinggi
61,Umum,29,29,73,35.4166666666667,47.5,51.0416666666667,Sedang
62,Umum,31,22,67,39.5833333333333,30,44.7916666666667,Sedang
63,Umum,26,22,47,29.1666666666667,30,23.9583333333333,Rendah
64,Umum,33,22,64,43.75,30,41.6666666666667,Sedang
65,Umum,34,27,83,45.8333333333333,42.5,61.4583333333333,Tinggi
66,Umum,38,28,90,54.1666666666667,45,68.75,Tinggi
67,Umum,35,17,76,47.9166666666667,17.5,54.1666666666667,Sedang
68,Umum,36,27,70,50,42.5,47.9166666666667,Sedang
69,Umum,15,14,41,6.25,10,17.7083333333333,Rendah
70,Umum,35,22,79,47.9166666666667,30,57.2916666666667,Sedang
71,Umum,24,20,85,25,25,63.5416666666667,Tinggi
72,Umum,24,22,64,25,30,41.6666666666667,Sedang
73,Umum,37,32,82,52.0833333333333,55,60.4166666666667,Tinggi
74,Umum,25,17,102,27.0833333333333,17.5,81.25,Tinggi
75,Umum,53,38,115,85.4166666666667,70,94.7916666666667,Tinggi
76,Umum,27,21,73,31.25,27.5,51.0416666666667,Sedang
77,Umum,12,10,26,0,0,2.08333333333333,Rendah
78,Umum,42,26,80,62.5,40,58.3333333333333,Sedang
79,Umum,20,18,103,16.6666666666667,20,82.2916666666667,Tinggi
80,Umum,55,26,83,89.5833333333333,40,61.4583333333333,Tinggi
81,Umum,28,30,73,33.3333333333333,50,51.0416666666667,Sedang
82,Umum,18,12,59,12.5,5,36.4583333333333,Rendah
83,Umum,26,22,84,29.1666666666667,30,62.5,Tinggi
84,Umum,34,25,84,45.8333333333333,37.5,62.5,Tinggi
85,Umum,30,19,86,37.5,22.5,64.5833333333333,Tinggi
86,Umum,34,40,95,45.8333333333333,75,73.9583333333333,Tinggi
87,Umum,25,40,68,27.0833333333333,75,45.8333333333333,Sedang
88,Umum,27,21,70,31.25,27.5,47.9166666666667,Sedang
89,Umum,32,28,80,41.6666666666667,45,58.3333333333333,Sedang
90,Umum,29,16,70,35.4166666666667,15,47.9166666666667,Sedang
91,Umum,16,10,44,8.33333333333333,0,20.8333333333333,Rendah
92,Umum,27,31,85,31.25,52.5,63.5416666666667,Tinggi
93,Umum,39,20,87,56.25,25,65.625,Tinggi
94,Umum,20,37,87,16.6666666666667,67.5,65.625,Tinggi
95,Umum,33,27,74,43.75,42.5,52.0833333333333,Sedang
96,Gamer,27,13,76,31.25,7.5,54.1666666666667,Sedang
97,Gamer,40,24,78,58.3333333333333,35,56.25,Sedang
98,Umum,29,24,96,35.4166666666667,35,75,Tinggi
99,Umum,30,26,69,37.5,40,46.875,Sedang
