NO,Kelompok,mu_Rendah,mu_Sedang,mu_Tinggi,z_star
1,Umum,0.5,0.17,0,27.61
2,Umum,0,0.6,0,50
3,Umum,0.5,0.3,0,31.25
4,Umum,0.67,0,0,20
5,Umum,0,0.25,0.58,70.96
6,Umum,0,0.6,0,50
7,Umum,0.4,0.33,0.25,45.41
8,Umum,1,0,0,20
9,Umum,0.58,0.25,0,29.04
10,Umum,1,0,0,20
11,Umum,0.75,0,0,20
12,Umum,0,0.42,0.31,62.74
13,Umum,1,0,0,20
14,Umum,0.5,0,0,20
15,Umum,0.31,0.42,0,37.26
16,Umum,0.17,0.5,0,42.39
17,Umum,0.83,0,0,20
18,Umum,0.17,0.5,0,42.39
19,Umum,0,0.8,0,50
20,Umum,0,0.33,0.44,67.14
21,Umum,0.44,0.33,0,32.86
22,Umum,0,0.75,0,50
23,Umum,0,0.7,0,50
24,Umum,0.72,0,0,20
25,Umum,1,0,0,20
26,Umum,0,0.58,0.03,51.48
27,Umum,0.42,0.3,0,32.5
28,Umum,1,0,0,20
29,Umum,0,0.9,0,50
30,Gamer,0,0.25,0.58,70.96
31,Umum,0.75,0,0,20
32,Gamer,0.17,0.5,0,42.39
33,Umum,0,0.8,0,50
34,Umum,1,0,0,20
35,Umum,0,0.6,0,50
36,Umum,0,0,0,20
37,Umum,0.44,0,0,20
38,Umum,1,0,0,20
39,Umum,0,0,0,20
40,Umum,0.4,0.08,0,25
41,Umum,0,0,0,20
42,Umum,1,0,0,20
43,Umum,0,0.83,0,50
44,Umum,1,0,0,20
45,Umum,0.83,0,0,20
46,Umum,0,0,0,20
47,Umum,0.67,0.2,0,26.9
48,Umum,0,0,0,20
49,Umum,0.03,0.58,0,48.52
50,Umum,0.72,0,0,20
51,Umum,0,1,0,50
52,Umum,0.33,0.4,0,36.44
53,Umum,0,0.8,0,50
54,Umum,0.72,0.17,0,25.73
55,Umum,0.42,0.1,0,25.77
56,Umum,0.6,0,0,20
57,Umum,1,0,0,20
58,Umum,1,0,0,20
59,Umum,0.83,0.08,0,22.64
60,Umum,0.83,0.1,0,23.23
61,Umum,0.31,0.42,0,37.26
62,Umum,0.58,0.2,0,27.69
63,Umum,0.67,0.17,0,26.07
64,Umum,0.67,0.2,0,26.9
65,Umum,0,0.7,0,50
66,Umum,0,0.8,0,50
67,Umum,0.92,0,0,20
68,Umum,0,0.7,0,50
69,Umum,1,0,0,20
70,Umum,0.67,0.2,0,26.9
71,Umum,1,0,0,20
72,Umum,0.67,0,0,20
73,Umum,0,0.8,0,50
74,Umum,0.86,0,0,20
75,Umum,0,0,0.67,80
76,Umum,0.58,0.1,0,24.41
77,Umum,0,0,0,20
78,Umum,0,0.5,0.17,57.61
79,Umum,1,0,0,20
80,Umum,0,0,0.6,80
81,Umum,0.44,0.33,0,32.86
82,Umum,1,0,0,20
83,Umum,0.67,0.17,0,26.07
84,Umum,0.17,0.5,0,42.39
85,Umum,0.5,0,0,20
86,Umum,0,0,0.83,80
87,Umum,0,0.86,0.08,52.55
88,Umum,0.58,0.1,0,24.41
89,Umum,0,0.67,0,50
90,Umum,0.42,0,0,20
91,Umum,0,0,0,20
92,Umum,0.58,0.25,0,29.04
93,Umum,0.75,0,0,20
94,Umum,0.3,0.5,0,38.75
95,Umum,0,0.7,0,50
96,Gamer,0.58,0,0,20
97,Gamer,0.33,0.4,0,36.44
98,Umum,0.33,0.4,0,36.44
99,Umum,0.17,0.5,0,42.39
100,Umum,1,0,0,20
101,Umum,0.4,0,0,20
102,Umum,0,0,0,20
103,Umum,0.44,0,0,20
104,Umum,1,0,0,20
105,Umum,0.86,0,0,20
106,Umum,0.42,0.3,0,32.5
107,Umum,1,0,0,20
108,Umum,0.72,0.1,0,23.66
109,Umum,0,0.6,0,50
110,Gamer,0.42,0,0,20
111,Umum,1,0,0,20
112,Umum,0.5,0.3,0,31.25
113,Gamer,0.72,0,0,20
114,Gamer,0.58,0.03,0,21.48
115,Umum,0.7,0.08,0,23.08
116,Umum,0.44,0.2,0,29.38
117,Umum,0.83,0,0,20
118,Umum,0.03,0.58,0,48.52
119,Umum,0,0,0,20
120,Umum,0.31,0.42,0,37.26
121,Umum,0.4,0.08,0,25
122,Gamer,0.58,0,0,20
123,Gamer,0,0.67,0,50
124,Gamer,0,0.83,0,50
125,Gamer,0.33,0.4,0,36.44
126,Umum,0.9,0,0,20
127,Umum,1,0,0,20
128,Umum,0.4,0.33,0,33.56
129,Gamer,0.83,0.08,0,22.64
130,Umum,1,0,0,20
131,Gamer,0.42,0.31,0,32.74
132,Umum,0.58,0,0,20
133,Gamer,0.6,0.17,0,26.62
134,Umum,0.5,0,0,20
135,Umum,0.42,0.2,0,29.68
136,Gamer,0,0,0,20
137,Umum,0.5,0.3,0,31.25
138,Umum,0.5,0.3,0,31.25
139,Gamer,0.44,0.33,0,32.86
140,Umum,0.67,0,0,20
141,Umum,1,0,0,20
142,Gamer,0,0,0,20
143,Umum,0.83,0.1,0,23.23
144,Umum,0,0.67,0,50
145,Umum,0.44,0.33,0,32.86
146,Gamer,0,0.9,0,50
147,Umum,0.83,0,0,20
148,Gamer,0,0.08,0.6,76.47
149,Umum,0.86,0,0,20
150,Umum,0,1,0,50
151,Umum,0.44,0.1,0,25.56
152,Umum,0.33,0.4,0,36.44
153,Umum,0,0.9,0,50
154,Umum,0,0.92,0,50
155,Umum,0,0,0.92,80
156,Umum,0.86,0,0,20
157,Umum,0.8,0,0,20
158,Gamer,0,0,1,80
159,Umum,0.42,0,0,20
160,Umum,0,0.5,0.17,57.61
161,Umum,0.86,0,0,20
162,Gamer,0.33,0.4,0.31,49.42
163,Umum,1,0,0,20
164,Umum,0.17,0.5,0,42.39
165,Gamer,0.86,0,0,20
166,Gamer,1,0,0,20
167,Umum,1,0,0,20
168,Umum,0.9,0,0,20
169,Umum,0.4,0,0,20
170,Umum,0,1,0,50
171,Gamer,0,0.86,0.08,52.55
172,Umum,0.08,0.86,0,47.45
173,Umum,0.58,0.25,0,29.04
174,Gamer,0.67,0.17,0,26.07
175,Umum,0.72,0,0,20
176,Umum,0.17,0.5,0,42.39
177,Umum,1,0,0,20
178,Umum,1,0,0,20
179,Gamer,0.42,0.31,0,32.74
180,Umum,0.7,0,0,20
181,Umum,1,0,0,20
182,Gamer,0.42,0.1,0,25.77
183,Umum,0,0.58,0.03,51.48
184,Umum,0.44,0,0,20
185,Gamer,0.44,0.33,0,32.86
186,Gamer,0,0.83,0,50
187,Umum,0.4,0,0,20
188,Umum,0,0,0.92,80
189,Gamer,0,0.5,0.17,57.61
190,Gamer,1,0,0,20
191,Umum,0,0.6,0,50
192,Gamer,0,0,0.8,80
193,Gamer,0.72,0,0,20
194,Gamer,0,0.67,0,50
195,Umum,0.33,0.4,0,36.44
196,Umum,1,0,0,20
197,Umum,0.44,0.1,0,25.56
198,Umum,0.03,0.58,0,48.52
199,Umum,0,0,0,20
200,Umum,0,0.67,0,50
201,Gamer,0,0,0,20
202,Umum,1,0,0,20
203,Umum,0.33,0.4,0,36.44
204,Umum,0,0.25,0.5,70
205,Gamer,0.5,0.3,0,31.25
206,Umum,0.03,0.58,0,48.52
207,Gamer,0,0,1,80
208,Umum,0.75,0,0,20
209,Gamer,0.72,0.17,0,25.73
210,Umum,0,0.7,0,50
211,Umum,0,0,0,20
212,Umum,0.5,0,0,20
213,Umum,0.5,0.08,0,24.14
214,Umum,0.8,0,0,20
215,Umum,0.58,0,0,20
216,Umum,0.31,0.42,0,37.26
217,Gamer,1,0,0,20
218,Umum,0.6,0.08,0,23.53
219,Gamer,0,0.92,0,50
220,Gamer,0.92,0,0,20
221,Umum,0,0.7,0,50
222,Umum,1,0,0,20
223,Umum,0,0.3,0.5,68.75
224,Umum,1,0,0,20
225,Umum,0.8,0,0,20
226,Gamer,0,0,0,20
227,Gamer,0.67,0.2,0,26.9
228,Umum,1,0,0,20
229,Umum,0.4,0,0,20
230,Umum,0.17,0.72,0,44.27
231,Umum,0.42,0.3,0,32.5
232,Umum,0.33,0.4,0,36.44
233,Umum,0,0,0,20
234,Umum,0,0.7,0,50
235,Umum,1,0,0,20
236,Umum,0,0.17,0.5,72.39
237,Umum,0,0.2,0.67,73.1
238,Umum,1,0,0,20
239,Gamer,0.72,0,0,20
240,Umum,1,0,0,20
241,Umum,0.4,0.25,0,31.54
242,Gamer,0,0,0,20
243,Umum,0.5,0,0,20
244,Umum,0.67,0,0,20
245,Umum,0.58,0,0,20
246,Umum,0.5,0.25,0,30
247,Umum,0,0,0.4,80
248,Gamer,0.44,0.33,0,32.86
249,Gamer,0.44,0.33,0,32.86
250,Umum,0.4,0.17,0,28.95
251,Umum,1,0,0,20
252,Gamer,0,0.2,0.67,73.1
253,Umum,1,0,0,20
254,Gamer,1,0,0,20
255,Gamer,0.44,0,0,20
256,Umum,0.58,0.25,0,29.04
257,Gamer,0,0.33,0.44,67.14
258,Gamer,0,0,1,80
259,Gamer,0,0,1,80
260,Umum,1,0,0,20
261,Gamer,0.58,0.2,0,27.69
262,Gamer,0,0,1,80
263,Gamer,0,0,1,80
264,Umum,0,0,0.72,80
265,Gamer,0.72,0,0,20
266,Gamer,0,0,1,80
267,Gamer,0,0,0.72,80
268,Gamer,0.58,0,0,20
269,Gamer,0,0,1,80
270,Umum,0,0,0.86,80
271,Umum,0,0.08,0.67,76.8
272,Umum,0,0,1,80
273,Umum,0,0,0.86,80
274,Gamer,0,0,1,80
275,Gamer,0,0,1,80
276,Gamer,0,0,1,80
277,Gamer,0,0,1,80
278,Gamer,0,0,1,80
279,Gamer,0,0,1,80
280,Gamer,1,0,0,20
281,Gamer,1,0,0,20
282,Gamer,0,0,1,80
283,Gamer,1,0,0,20
284,Umum,1,0,0,20
285,Umum,1,0,0,20
286,Umum,1,0,0,20
287,Umum,1,0,0,20
288,Umum,1,0,0,20
289,Gamer,0,0,1,80
290,Gamer,1,0,0,20
291,Gamer,1,0,0,20
292,Gamer,0,0,1,80
293,Gamer,0,0,1,80
294,Gamer,0.5,0.3,0,31.25
295,Gamer,0,0.6,0,50
296,Gamer,0,0.75,0,50
297,Gamer,0,0,0.5,80
298,Gamer,0,0.4,0.33,63.56
299,Gamer,1,0,0,20
300,Gamer,0,0,1,80
301,Gamer,0,0,1,80
302,Gamer,0,0,1,80
303,Gamer,0,0,0.44,80
304,Gamer,0,0,1,80
305,Gamer,0.67,0,0,20
306,Gamer,0,0,1,80
307,Gamer,0,0,1,80
308,Gamer,0,0,1,80
309,Gamer,1,0,0,20
310,Gamer,0,0,1,80
311,Gamer,0,0,1,80
312,Gamer,0,0,1,80
313,Gamer,0,0,1,80
314,Gamer,0,0,1,80
315,Gamer,0,0,1,80
316,Gamer,0,0,1,80
317,Gamer,0,0,1,80
318,Gamer,0,0,1,80
319,Umum,0,0,1,80
320,Umum,0,0,1,80
321,Gamer,0,0,1,80
322,Gamer,0,0,1,80
323,Gamer,0,0,1,80
324,Gamer,1,0,0,20
325,Gamer,0.5,0,0,20
326,Gamer,0,0,1,80
327,Gamer,0,0,1,80
328,Gamer,0,0,1,80
329,Gamer,1,0,0,20
330,Gamer,0,0,1,80
331,Umum,0,0,1,80
332,Umum,0,0,1,80
333,Umum,0,0,1,80
334,Umum,0,0,1,80
335,Umum,0,0,1,80
336,Umum,0,0,1,80
337,Umum,0,0,1,80
338,Umum,0,0,1,80
339,Gamer,1,0,0,20
340,Gamer,0,0,1,80
341,Gamer,0,0,1,80
