NO,Kelompok,Norm_DS,DS_Rendah,DS_Sedang,DS_Tinggi,Norm_FOMO,FOMO_Rendah,FOMO_Sedang,FOMO_Tinggi
1,Umum,29.1666666666667,0.58333333333333,0,0,32.5,0.25,0.125,0
2,Umum,45.8333333333333,0,0.791666666666665,0,40,0,0.5,0
3,Umum,52.0833333333333,0,0.895833333333335,0,32.5,0.25,0.125,0
4,Umum,41.6666666666667,0,0.583333333333335,0,20,1,0,0
5,Umum,68.75,0,0.0625,0.375,47.5,0,0.875,0
6,Umum,56.25,0,0.6875,0,40,0,0.5,0
7,Umum,31.25,0.375,0.0625,0,65,0,0.25,0
8,Umum,25,1,0,0,5,1,0,0
9,Umum,31.25,0.375,0.0625,0,55,0,0.75,0
10,Umum,18.75,1,0,0,22.5,1,0,0
11,Umum,43.75,0,0.6875,0,25,1,0,0
12,Umum,64.5833333333333,0,0.270833333333335,0,60,0,0.5,0
13,Umum,16.6666666666667,1,0,0,15,1,0,0
14,Umum,14.5833333333333,1,0,0,32.5,0.25,0.125,0
15,Umum,35.4166666666667,0,0.270833333333335,0,50,0,1,0
16,Umum,43.75,0,0.6875,0,37.5,0,0.375,0
17,Umum,45.8333333333333,0,0.791666666666665,0,15,1,0,0
18,Umum,47.9166666666667,0,0.895833333333335,0,37.5,0,0.375,0
19,Umum,45.8333333333333,0,0.791666666666665,0,45,0,0.75,0
20,Umum,66.6666666666667,0,0.166666666666665,0.16666666666667,55,0,0.75,0
21,Umum,33.3333333333333,0.16666666666667,0.166666666666665,0,40,0,0.5,0
22,Umum,43.75,0,0.6875,0,52.5,0,0.875,0
23,Umum,43.75,0,0.6875,0,42.5,0,0.625,0
24,Umum,29.1666666666667,0.58333333333333,0,0,17.5,1,0,0
25,Umum,12.5,1,0,0,5,1,0,0
26,Umum,60.4166666666667,0,0.479166666666665,0,40,0,0.5,0
27,Umum,35.4166666666667,0,0.270833333333335,0,32.5,0.25,0.125,0
28,Umum,25,1,0,0,7.5,1,0,0
29,Umum,52.0833333333333,0,0.895833333333335,0,52.5,0,0.875,0
30,Gamer,68.75,0,0.0625,0.375,55,0,0.75,0
