NO,Kelompok,R1,R2,R3,R4,R5,R6,R7,R8,R9,mu_Rendah,mu_Sedang,mu_Tinggi
1,Umum,0.25,0.125,0,0,0,0,0,0,0,0.25,0.125,0
2,Umum,0,0,0,0,0.5,0,0,0,0,0,0.5,0
3,Umum,0,0,0,0.25,0.125,0,0,0,0,0,0.25,0
4,Umum,0,0,0,0.583333333333335,0,0,0,0,0,0,0.583333333333335,0
5,Umum,0,0,0,0,0.0625,0,0,0.375,0,0,0.0625,0.375
6,Umum,0,0,0,0,0.5,0,0,0,0,0,0.5,0
7,Umum,0,0.25,0,0,0.0625,0,0,0,0,0,0.25,0
8,Umum,1,0,0,0,0,0,0,0,0,1,0,0
9,Umum,0,0.375,0,0,0.0625,0,0,0,0,0,0.375,0
10,Umum,1,0,0,0,0,0,0,0,0,1,0,0
11,Umum,0,0,0,0.6875,0,0,0,0,0,0,0.6875,0
12,Umum,0,0,0,0,0.270833333333335,0,0,0,0,0,0.270833333333335,0
13,Umum,1,0,0,0,0,0,0,0,0,1,0,0
14,Umum,0.25,0.125,0,0,0,0,0,0,0,0.25,0.125,0
15,Umum,0,0,0,0,0.270833333333335,0,0,0,0,0,0.270833333333335,0
16,Umum,0,0,0,0,0.375,0,0,0,0,0,0.375,0
17,Umum,0,0,0,0.791666666666665,0,0,0,0,0,0,0.791666666666665,0
18,Umum,0,0,0,0,0.375,0,0,0,0,0,0.375,0
19,Umum,0,0,0,0,0.75,0,0,0,0,0,0.75,0
20,Umum,0,0,0,0,0.166666666666665,0,0,0.16666666666667,0,0,0.166666666666665,0.16666666666667
21,Umum,0,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0
22,Umum,0,0,0,0,0.6875,0,0,0,0,0,0.6875,0
23,Umum,0,0,0,0,0.625,0,0,0,0,0,0.625,0
24,Umum,0.58333333333333,0,0,0,0,0,0,0,0,0.58333333333333,0,0
25,Umum,1,0,0,0,0,0,0,0,0,1,0,0
26,Umum,0,0,0,0,0.479166666666665,0,0,0,0,0,0.479166666666665,0
27,Umum,0,0,0,0.25,0.125,0,0,0,0,0,0.25,0
28,Umum,1,0,0,0,0,0,0,0,0,1,0,0
29,Umum,0,0,0,0,0.875,0,0,0,0,0,0.875,0
30,Gamer,0,0,0,0,0.0625,0,0,0.375,0,0,0.0625,0.375
31,Umum,0,0,0,0.6875,0,0,0,0,0,0,0.6875,0
32,Gamer,0,0,0,0,0.375,0,0,0,0,0,0.375,0
33,Umum,0,0,0,0,0.75,0,0,0,0,0,0.75,0
34,Umum,1,0,0,0,0,0,0,0,0,1,0,0
35,Umum,0,0,0,0,0.5,0,0,0,0,0,0.5,0
36,Umum,0,0,0,0,0,0,0,0,0,0,0,0
37,Umum,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0.166666666666665,0
38,Umum,1,0,0,0,0,0,0,0,0,1,0,0
39,Umum,0,0,0,0,0,0,0,0,0,0,0,0
40,Umum,0,0.25,0,0,0,0,0,0,0,0,0.25,0
41,Umum,0,0,0,0,0,0,0,0,0,0,0,0
42,Umum,1,0,0,0,0,0,0,0,0,1,0,0
43,Umum,0,0,0,0,0.791666666666665,0,0,0,0,0,0.791666666666665,0
44,Umum,1,0,0,0,0,0,0,0,0,1,0,0
45,Umum,0,0,0,0.791666666666665,0,0,0,0,0,0,0.791666666666665,0
46,Umum,0,0,0,0,0,0,0,0,0,0,0,0
47,Umum,0,0,0,0.5,0,0,0,0,0,0,0.5,0
48,Umum,0,0,0,0,0,0,0,0,0,0,0,0
49,Umum,0,0,0,0,0.479166666666665,0,0,0,0,0,0.479166666666665,0
50,Umum,0.58333333333333,0,0,0,0,0,0,0,0,0.58333333333333,0,0
51,Umum,0,0,0,0,1,0,0,0,0,0,1,0
52,Umum,0,0,0,0,0.25,0,0,0,0,0,0.25,0
53,Umum,0,0,0,0,0.75,0,0,0,0,0,0.75,0
