NO,Kelompok,mu_Rendah,mu_Sedang,mu_Tinggi,z_star,Kategori_Klasifikasi
1,Umum,0.5,0.17,0,27.61,Rendah
2,Umum,0,0.6,0,50,Sedang
3,Umum,0.5,0.3,0,31.25,Rendah
4,Umum,0.67,0,0,20,Rendah
5,Umum,0,0.25,0.58,70.96,Tinggi
6,Umum,0,0.6,0,50,Sedang
7,Umum,0.4,0.33,0.25,45.41,Sedang
8,Umum,1,0,0,20,Rendah
9,Umum,0.58,0.25,0,29.04,Rendah
10,Umum,1,0,0,20,Rendah
11,Umum,0.75,0,0,20,Rendah
12,Umum,0,0.42,0.31,62.74,Tinggi
13,Umum,1,0,0,20,Rendah
14,Umum,0.5,0,0,20,Rendah
15,Umum,0.31,0.42,0,37.26,Rendah
16,Umum,0.17,0.5,0,42.39,Sedang
17,Umum,0.83,0,0,20,Rendah
18,Umum,0.17,0.5,0,42.39,Sedang
19,Umum,0,0.8,0,50,Sedang
20,Umum,0,0.33,0.44,67.14,Tinggi
21,Umum,0.44,0.33,0,32.86,Rendah
22,Umum,0,0.75,0,50,Sedang
23,Umum,0,0.7,0,50,Sedang
24,Umum,0.72,0,0,20,Rendah
25,Umum,1,0,0,20,Rendah
26,Umum,0,0.58,0.03,51.48,Sedang
27,Umum,0.42,0.3,0,32.5,Rendah
28,Umum,1,0,0,20,Rendah
29,Umum,0,0.9,0,50,Sedang
30,Gamer,0,0.25,0.58,70.96,Tinggi
31,Umum,0.75,0,0,20,Rendah
32,Gamer,0.17,0.5,0,42.39,Sedang
33,Umum,0,0.8,0,50,Sedang
34,Umum,1,0,0,20,Rendah
35,Umum,0,0.6,0,50,Sedang
36,Umum,0,0,0,20,Rendah
37,Umum,0.44,0,0,20,Rendah
38,Umum,1,0,0,20,Rendah
39,Umum,0,0,0,20,Rendah
40,Umum,0.4,0.08,0,25,Rendah
41,Umum,0,0,0,20,Rendah
42,Umum,1,0,0,20,Rendah
43,Umum,0,0.83,0,50,Sedang
44,Umum,1,0,0,20,Rendah
45,Umum,0.83,0,0,20,Rendah
46,Umum,0,0,0,20,Rendah
47,Umum,0.67,0.2,0,26.9,Rendah
48,Umum,0,0,0,20,Rendah
49,Umum,0.03,0.58,0,48.52,Sedang
50,Umum,0.72,0,0,20,Rendah
51,Umum,0,1,0,50,Sedang
52,Umum,0.33,0.4,0,36.44,Rendah
53,Umum,0,0.8,0,50,Sedang
54,Umum,0.72,0.17,0,25.73,Rendah
55,Umum,0.42,0.1,0,25.77,Rendah
56,Umum,0.6,0,0,20,Rendah
57,Umum,1,0,0,20,Rendah
58,Umum,1,0,0,20,Rendah
59,Umum,0.83,0.08,0,22.64,Rendah
60,Umum,0.83,0.1,0,23.23,Rendah
61,Umum,0.31,0.42,0,37.26,Rendah
62,Umum,0.58,0.2,0,27.69,Rendah
63,Umum,0.67,0.17,0,26.07,Rendah
64,Umum,0.67,0.2,0,26.9,Rendah
65,Umum,0,0.7,0,50,Sedang
66,Umum,0,0.8,0,50,Sedang
67,Umum,0.92,0,0,20,Rendah
68,Umum,0,0.7,0,50,Sedang
69,Umum,1,0,0,20,Rendah
70,Umum,0.67,0.2,0,26.9,Rendah
71,Umum,1,0,0,20,Rendah
72,Umum,0.67,0,0,20,Rendah
